date,product_id,quantity_sold
2022-01-01,P0001,8
2022-01-01,P0002,7
2022-01-01,P0003,5
2022-01-01,P0004,9
2022-01-01,P0005,9
2022-01-01,P0006,11
2022-01-01,P0007,18
2022-01-01,P0008,13
2022-01-01,P0009,17
2022-01-01,P0010,14
2022-01-01,P0011,19
2022-01-01,P0012,18
2022-01-01,P0013,15
2022-01-01,P0014,17
2022-01-01,P0015,18
2022-01-01,P0016,15
2022-01-01,P0017,15
2022-01-01,P0018,12
2022-01-01,P0019,11
2022-01-01,P0020,7
2022-01-01,P0021,10
2022-01-01,P0022,6
2022-01-01,P0023,6
2022-01-01,P0024,10
2022-01-01,P0025,3
2022-01-01,P0026,9
2022-01-01,P0027,16
2022-01-01,P0028,7
2022-01-01,P0029,7
2022-01-01,P0030,4
2022-01-01,P0031,7
2022-01-01,P0032,3
2022-01-01,P0033,9
2022-01-01,P0034,10
2022-01-01,P0035,19
2022-01-01,P0036,9
2022-01-01,P0037,17
2022-01-01,P0038,3
2022-01-01,P0039,18
2022-01-01,P0040,16
2022-01-01,P0041,15
2022-01-01,P0042,6
2022-01-01,P0043,10
2022-01-01,P0044,10
2022-01-01,P0045,18
2022-01-01,P0046,9
2022-01-01,P0047,18
2022-01-01,P0048,6
2022-01-01,P0049,14
2022-01-01,P0050,14
2022-01-01,P0051,7
2022-01-01,P0052,18
2022-01-01,P0053,8
2022-01-01,P0054,19
2022-01-01,P0055,9
2022-01-01,P0056,8
2022-01-01,P0057,10
2022-01-01,P0058,20
2022-01-01,P0059,12
2022-01-01,P0060,15
2022-01-01,P0061,18
2022-01-01,P0062,19
2022-01-01,P0063,11
2022-01-01,P0064,4
2022-01-01,P0065,11
2022-01-01,P0066,18
2022-01-01,P0067,10
2022-01-01,P0068,14
2022-01-01,P0069,11
2022-01-01,P0070,15
2022-01-01,P0071,18
2022-01-01,P0072,13
2022-01-01,P0073,12
2022-01-01,P0074,9
2022-01-01,P0075,15
2022-01-01,P0076,9
2022-01-01,P0077,10
2022-01-01,P0078,16
2022-01-01,P0079,21
2022-01-01,P0080,10
2022-01-01,P0081,15
2022-01-01,P0082,8
2022-01-01,P0083,4
2022-01-01,P0084,16
